# VELOCITY:     AVE_POFV:        ERROR:
     2.36541    0.388368   0.0159635
     2.51802    0.319276   0.0176127
     2.67062    0.253418   0.0126002
     2.82323      0.2016   0.0143824
     2.97584     0.17153   0.0117236
     3.12844    0.134257   0.0078783
     3.28105    0.129712   0.0100194
     3.43366     0.08519  0.00754156
     3.58626   0.0473994  0.00483085
     3.73887   0.0352596  0.00587454
     3.89148    0.021263  0.00353934
     4.04408   0.0162914  0.00531193
     4.19669  0.00368674  0.00104546
      4.3493   0.0012518 0.000394221
     4.50191 0.000218745   0.0001354
   0.0763035  0.00447622   0.0015079
     0.22891   0.0332725  0.00580955
    0.381517   0.0823934  0.00525266
    0.534124    0.116932  0.00757813
    0.686731    0.191125   0.0103519
    0.839338    0.291499   0.0161662
    0.991945    0.343861   0.0125689
     1.14455    0.397665  0.00897991
     1.29716    0.453839   0.0144608
     1.44977    0.499508   0.0193796
     1.60237    0.484973   0.0194806
     1.75498    0.495634   0.0183748
     1.90759    0.500886   0.0207842
     2.06019    0.456667   0.0184747
      2.2128    0.395921   0.0117701
     2.36541    0.384182   0.0157046
     2.51802     0.31767    0.016805
     2.67062    0.249978   0.0124307
     2.82323    0.203062   0.0137374
     2.97584    0.173696   0.0113357
     3.12844    0.133187  0.00755672
     3.28105    0.126556   0.0100032
     3.43366   0.0870874  0.00739931
     3.58626   0.0489019  0.00481731
     3.73887   0.0369353   0.0058149
     3.89148   0.0218805  0.00341582
     4.04408   0.0159258   0.0050589
     4.19669  0.00366925 0.000993329
      4.3493  0.00118921 0.000379446
     4.50191 0.000207808 0.000129071
