# DISTANCE:     AVE_GOFR:        ERROR:
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 5.40341e-06 4.93262e-06
    0.884913  0.00118198 4.42196e-05
    0.910562   0.0234718 0.000361876
    0.936212    0.166685  0.00242007
    0.961861    0.569124  0.00368327
    0.987511     1.20146  0.00842345
     1.01316     1.87289  0.00649512
     1.03881     2.33995  0.00655619
     1.06446     2.54978  0.00307401
     1.09011     2.54301  0.00278343
     1.11576     2.40648   0.0052659
     1.14141     2.20727  0.00469717
     1.16706     1.97569  0.00478506
     1.19271     1.75376  0.00415248
     1.21836     1.55548  0.00576356
     1.24401     1.38646  0.00417448
     1.26966     1.24233  0.00341325
     1.29531      1.1245  0.00328345
     1.32096     1.02219     0.00192
     1.34661    0.941561  0.00290812
     1.37226    0.866837  0.00363648
     1.39791     0.81792 0.000850736
     1.42355    0.775143  0.00284411
      1.4492     0.73924  0.00195736
     1.47485    0.711813  0.00175162
      1.5005    0.690169  0.00265299
     1.52615    0.677679  0.00218686
      1.5518     0.67154  0.00142699
     1.57745    0.672645  0.00201135
      1.6031    0.674004  0.00245528
     1.62875    0.685588   0.0022502
      1.6544     0.70268  0.00262534
     1.68005    0.726734  0.00393545
      1.7057    0.751279  0.00167202
     1.73135    0.780935  0.00275393
       1.757    0.818468   0.0030952
     1.78265    0.851724  0.00246519
      1.8083    0.894213  0.00145233
     1.83395    0.935034  0.00239486
      1.8596     0.97655   0.0018708
     1.88525     1.02078  0.00203049
      1.9109     1.05784  0.00206334
     1.93655     1.09518 0.000929638
      1.9622      1.1345   0.0029721
     1.98785     1.16126  0.00230035
      2.0135     1.18713  0.00208683
     2.03915     1.20366   0.0031192
      2.0648      1.2136   0.0028415
     2.09045      1.2167  0.00223598
      2.1161     1.20817  0.00155997
     2.14174     1.19236  0.00293581
     2.16739     1.17188  0.00289202
     2.19304     1.14907  0.00231958
     2.21869     1.12001  0.00219086
     2.24434     1.09305  0.00254803
     2.26999     1.06459 0.000963327
     2.29564     1.03911  0.00178037
     2.32129     1.01248    0.002306
     2.34694    0.985915  0.00177757
     2.37259    0.968173 0.000911403
     2.39824    0.945487   0.0017908
     2.42389    0.930559  0.00112127
     2.44954    0.919574 0.000715207
     2.47519    0.909305  0.00160747
     2.50084    0.896312 0.000964337
     2.52649    0.885822  0.00154517
     2.55214    0.887071  0.00202713
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263  4.6315e-06 4.28793e-06
