# DISTANCE:     AVE_GOFR:        ERROR:
     1.34661    0.921839  0.00446087
     1.37226    0.863328  0.00689454
     1.39791    0.809142   0.0055646
     1.42355    0.777764   0.0078161
      1.4492    0.745968   0.0092409
     1.47485    0.702252  0.00820025
      1.5005    0.688274  0.00536776
     1.52615    0.682808  0.00828574
      1.5518    0.672848  0.00850882
     1.57745    0.671188  0.00774752
      1.6031    0.690887  0.00815419
     1.62875    0.699077  0.00594005
      1.6544    0.712914  0.00496266
     1.68005    0.732574  0.00595443
      1.7057    0.760114  0.00708411
     1.73135    0.785315  0.00648776
       1.757    0.825856    0.005683
     1.78265    0.860762   0.0072829
      1.8083    0.897655  0.00566308
     1.83395     0.94355  0.00787949
      1.8596    0.974618   0.0106068
     1.88525     1.02027  0.00971523
      1.9109     1.05956  0.00982385
     1.93655     1.10779  0.00421521
      1.9622     1.14227  0.00523099
     1.98785     1.16487  0.00586562
      2.0135     1.19014  0.00422904
     2.03915     1.20631  0.00555673
      2.0648     1.21239  0.00255586
     2.09045     1.21134  0.00352061
      2.1161     1.19603  0.00721778
     2.14174     1.18924   0.0061713
     2.16739     1.17406  0.00515889
     2.19304     1.14716  0.00274222
     2.21869     1.11752   0.0039901
     2.24434     1.08459  0.00381868
     2.26999     1.05486  0.00421659
     2.29564     1.02754  0.00479956
     2.32129    0.999814  0.00541144
     2.34694    0.968595  0.00350234
     2.37259    0.957418  0.00558792
     2.39824    0.939259  0.00520878
     2.42389    0.917942  0.00415169
     2.44954    0.908581  0.00435302
     2.47519    0.899289  0.00506932
     2.50084     0.89848  0.00470996
     2.52649    0.896864  0.00336917
     2.55214    0.896932   0.0039004
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 4.05256e-05 3.79082e-05
    0.884913  0.00139086 0.000213706
    0.910562   0.0245184 0.000725504
    0.936212     0.17267  0.00519071
    0.961861    0.582219  0.00455127
    0.987511     1.22277   0.0129975
     1.01316     1.87425  0.00988913
     1.03881     2.36221   0.0153864
     1.06446     2.58163   0.0112268
     1.09011     2.54444   0.0126874
     1.11576     2.39158   0.0098166
     1.14141     2.20321  0.00841776
     1.16706     1.98044    0.010306
     1.19271      1.7372  0.00953159
     1.21836     1.54049   0.0134999
     1.24401     1.35013   0.0114751
     1.26966     1.21647   0.0105293
     1.29531     1.11706  0.00635613
     1.32096     1.00241  0.00811592
     1.34661    0.922228  0.00392014
     1.37226    0.863162  0.00603471
     1.39791    0.811321  0.00527819
     1.42355    0.780107  0.00718171
      1.4492    0.745337  0.00810727
     1.47485    0.701938  0.00718124
      1.5005    0.689516  0.00483836
     1.52615     0.68791  0.00867982
      1.5518    0.675442  0.00783059
     1.57745    0.670953  0.00678263
      1.6031    0.690789   0.0071355
     1.62875    0.699769  0.00523774
      1.6544    0.713634  0.00439425
     1.68005    0.734177   0.0054217
      1.7057    0.762331  0.00653635
     1.73135    0.789273   0.0067773
       1.757    0.823807  0.00532945
     1.78265    0.858557  0.00669794
      1.8083    0.897032  0.00498935
     1.83395    0.941815  0.00708302
      1.8596    0.976961  0.00953643
     1.88525     1.02183  0.00862432
      1.9109     1.05839  0.00866533
     1.93655     1.10259  0.00610291
      1.9622     1.13716  0.00661859
     1.98785     1.16348  0.00529441
      2.0135     1.18694  0.00476065
     2.03915      1.2062  0.00486322
      2.0648     1.21155  0.00237122
     2.09045      1.2082  0.00425428
      2.1161     1.19219  0.00726935
     2.14174     1.18797  0.00552856
     2.16739     1.17481  0.00456692
     2.19304     1.14644  0.00249263
     2.21869     1.11581  0.00383908
     2.24434      1.0855  0.00344905
     2.26999       1.055  0.00369185
     2.29564     1.02832  0.00426306
     2.32129     1.00224  0.00524989
     2.34694    0.971737  0.00424671
     2.37259     0.95789   0.0049093
     2.39824    0.941112  0.00487626
     2.42389    0.923013  0.00597494
     2.44954    0.912998  0.00561926
     2.47519    0.903106  0.00569448
     2.50084    0.898721   0.0041274
     2.52649    0.897324  0.00297931
     2.55214    0.896619  0.00342533
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 3.60228e-05 3.39626e-05
    0.884913   0.0012601 0.000226461
    0.910562   0.0241262 0.000743362
    0.936212    0.174177  0.00482767
    0.961861    0.583068  0.00412403
    0.987511     1.22426   0.0116391
     1.01316     1.87485  0.00880896
     1.03881     2.36746   0.0145455
     1.06446     2.58184  0.00998142
     1.09011     2.53614   0.0137267
     1.11576     2.38575   0.0103125
     1.14141     2.19441   0.0111752
     1.16706     1.97798  0.00944929
     1.19271     1.73641  0.00850545
     1.21836     1.53796   0.0122347
     1.24401     1.35079   0.0102192
     1.26966     1.22528   0.0125162
     1.29531      1.1202  0.00637956
     1.32096     1.00735  0.00858827
     1.34661    0.924845  0.00426952
     1.37226    0.864183  0.00544985
     1.39791     0.81347  0.00511046
     1.42355    0.781283  0.00647942
      1.4492    0.747525  0.00749594
     1.47485    0.704614   0.0068637
      1.5005    0.692007   0.0049003
     1.52615    0.683324  0.00884445
      1.5518    0.674184  0.00706078
     1.57745    0.669407  0.00620276
      1.6031     0.68849   0.0067029
     1.62875    0.699699  0.00465624
      1.6544    0.713351  0.00391507
     1.68005    0.734194  0.00481932
      1.7057    0.762778  0.00582537
     1.73135    0.790729  0.00617873
       1.757    0.824793   0.0048277
     1.78265    0.857473  0.00604076
      1.8083    0.894422  0.00507193
     1.83395    0.939835  0.00656689
      1.8596     0.97545  0.00859575
     1.88525     1.01883  0.00816987
      1.9109     1.05553  0.00816302
     1.93655     1.10162  0.00550098
      1.9622     1.13951  0.00628614
     1.98785     1.16837  0.00658804
      2.0135     1.18762   0.0042806
     2.03915      1.2074  0.00446862
      2.0648     1.21302  0.00252203
     2.09045     1.21095  0.00458266
      2.1161     1.19254  0.00647004
     2.14174     1.18763  0.00492515
     2.16739     1.17139  0.00517863
     2.19304     1.14334  0.00366629
     2.21869     1.11593  0.00341426
     2.24434     1.08327  0.00371954
     2.26999      1.0547  0.00329357
     2.29564     1.02715  0.00394731
     2.32129     1.00088  0.00483972
     2.34694    0.972368   0.0038214
     2.37259    0.957936  0.00436404
     2.39824     0.94428  0.00526381
     2.42389     0.92507   0.0056539
     2.44954    0.916437  0.00595505
     2.47519    0.903973  0.00512728
     2.50084    0.900381  0.00398876
     2.52649    0.896303  0.00281773
     2.55214    0.896167  0.00307447
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 3.24205e-05 3.07568e-05
    0.884913  0.00127165 0.000204109
    0.910562   0.0238847 0.000707183
    0.936212    0.173506  0.00439127
    0.961861    0.580216  0.00459333
    0.987511     1.22467   0.0104823
     1.01316     1.88232   0.0106293
     1.03881     2.36993   0.0132984
     1.06446     2.58799   0.0107086
     1.09011     2.53685   0.0123722
     1.11576     2.39211   0.0110701
     1.14141     2.18578   0.0129657
     1.16706     1.97338  0.00956037
     1.19271      1.7364   0.0076549
     1.21836     1.53904   0.0110581
     1.24401     1.35331  0.00950258
     1.26966     1.22604   0.0112876
     1.29531     1.11548  0.00728521
     1.32096     1.00405  0.00834002
     1.34661    0.924999  0.00384535
     1.37226    0.863263  0.00498188
     1.39791    0.810189   0.0055532
     1.42355    0.780137  0.00593195
      1.4492    0.748513  0.00681114
     1.47485     0.70514  0.00619745
      1.5005    0.690954  0.00452203
     1.52615    0.683037  0.00796465
      1.5518    0.674431    0.006359
     1.57745    0.670013  0.00561203
      1.6031    0.688549  0.00603287
     1.62875    0.699035  0.00423773
      1.6544    0.710367  0.00452021
     1.68005    0.732742  0.00455102
      1.7057    0.763198  0.00525792
     1.73135    0.790291  0.00557634
