BETA:        ENERGY:       ERROR:      ACCEPTANCY:
 0.158891     -0.288486     0.0273581       0.55
 0.157302     -0.424482     0.0111647       0.51
 0.155729     -0.39558     0.0150553       0.41
 0.154172     -0.212734     0.0191667       0.51
 0.15263     -0.36709     0.0204346       0.52
 0.151104     -0.248905     0.0175162       0.54
 0.149593     -0.227708     0.0350977       0.51
 0.148097     -0.156847     0.014804       0.55
 0.146616     -0.170041     0.0451223       0.51
 0.14515     -0.0900699     0.0148486       0.48
 0.143698     -0.181708     0.0436208       0.46
 0.142261     -0.00938159     0.0621777       0.59
 0.140838     -0.0510428     0.0815353       0.52
 0.13943     -0.262714     0.0125179       0.54
 0.138036     -0.308642     0.0145449       0.54
 0.136655     -0.390724     0.016403       0.5
 0.135289     -0.446755     0.00783658       0.5
 0.133936     -0.42604     0.0084685       0.53
 0.132597     -0.291977     0.0256468       0.45
 0.131271     -0.304571     0.0180485       0.48
 0.129958     -0.321798     0.0103682       0.54
 0.128658     -0.353545     0.00915793       0.43
 0.127372     -0.246538     0.0174202       0.49
 0.126098     -0.35923     0.0124115       0.52
 0.124837     -0.271554     0.0246979       0.51
 0.123589     -0.412111     0.00942843       0.61
 0.122353     -0.323337     0.0211695       0.46
 0.121129     -0.411686     0.0385206       0.51
 0.119918     -0.332122     0.0409231       0.47
 0.118719     -0.443503     0.00847075       0.56
 0.117532     -0.428006     0.012832       0.57
 0.116356     -0.399073     0.0233549       0.55
 0.115193     -0.380009     0.0158677       0.45
 0.114041     -0.361593     0.00955981       0.52
 0.1129     -0.137847     0.014514       0.45
 0.111771     -0.336735     0.0136803       0.51
 0.110654     -0.222623     0.0134205       0.56
 0.109547     -0.222058     0.0290281       0.45
 0.108452     -0.193645     0.0453019       0.51
 0.107367     -0.250084     0.0410152       0.54
 0.106294     -0.178756     0.0155188       0.52
 0.105231     -0.295529     0.0178885       0.44
 0.104178     -0.203016     0.0775699       0.48
 0.103137     -0.222506     0.0326072       0.42
 0.102105     -0.17669     0.0342926       0.41
 0.101084     -0.260543     0.0159259       0.52
 0.100073     -0.253766     0.0284992       0.51
 0.0990725     -0.169425     0.0143845       0.62
 0.0980818     -0.0904532     0.0135607       0.55
 0.097101     -0.224543     0.015727       0.45
 0.09613     -0.368192     0.0105451       0.49
 0.0951687     -0.217396     0.0350575       0.53
 0.094217     -0.226078     0.063513       0.63
 0.0932748     -0.221314     0.0152126       0.53
 0.0923421     -0.135017     0.016806       0.5
